2023-12-20 18:37:44 [main] INFO  Main - help
2023-12-20 18:37:48 [main] INFO  Main - add Василий Петров vasily.petrov@gmail.com +79215637722
2023-12-20 18:37:51 [main] INFO  Main - add Василий Петров vasily.petrov@gmail.com +79215637724
2023-12-20 18:37:55 [main] INFO  Main - list
2023-12-20 18:38:10 [main] INFO  Main - count
2023-12-20 18:38:20 [main] INFO  Main - add Василий Петров vail.com +79215637723
2023-12-20 18:38:39 [main] INFO  Main - add sdsds dfdfdfd vsdsdsdov@gmail.com +79215637721
2023-12-20 18:38:41 [main] INFO  Main - list
2023-12-20 18:38:44 [main] INFO  Main - count
2023-12-20 18:50:49 [main] INFO  Main - add Василий Петров vasily.petrov@gmail.com +79215637722
2023-12-20 18:50:52 [main] INFO  Main - add Василий Петров vasily.petrov@gmail.com +7921563772232
